offense,defense,hfa,sepa
Utah,Florida,-1,-0.11010832273906335
Oregon,Georgia,0,-0.7938751935564881
Oregon,Georgia,0,1.4024375109188034
Oregon,Georgia,0,0.2630151869635009
Oregon,Georgia,0,-0.5626911815532847
Oregon,Georgia,0,1.02877480959391
Oregon,Georgia,0,-0.6421505306649413
Oregon,Georgia,0,-0.4120876912338425
Oregon,Georgia,0,1.6628005392610992
Oregon,Georgia,0,0.11241169664405848
Oregon,Georgia,0,-0.8646705500480635
Oregon,Georgia,0,2.942495212993014
Georgia,Oregon,0,0.11241169664405848
Georgia,Oregon,0,0.9827064831504464
Georgia,Oregon,0,0.11241169664405848
Georgia,Oregon,0,0.9827064831504457
Georgia,Oregon,0,0.6085623173623156
Georgia,Oregon,0,1.399399338475662
Georgia,Oregon,0,-0.8646705500480638
Oregon,Georgia,0,-0.4915470403454988
Oregon,Georgia,0,-0.2607118130585063
Oregon,Georgia,0,-0.6421505306649415
Oregon,Georgia,0,-0.11010832273906357
Oregon,Georgia,0,-0.28694157187958225
Oregon,Georgia,0,2.1960568111873124
Oregon,Georgia,0,0.5649945554582798
Oregon,Georgia,0,-0.8646705500480636
Oregon,Georgia,0,1.212519470633257
Oregon,Georgia,0,-0.6421505306649415
Oregon,Georgia,0,1.2492428907389421
Oregon,Georgia,0,0.7167192183498265
Oregon,Georgia,0,0.8046865750559613
Oregon,Georgia,0,-0.6421505306649413
Oregon,Georgia,0,-0.2603630283422951
Oregon,Georgia,0,2.548673664617798
Oregon,Georgia,0,-0.07383352893471606
Oregon,Georgia,0,-0.7692426386552249
Kentucky,Miami (OH),1,2.738530428130419
Kentucky,Miami (OH),1,0.715249261061512
Kentucky,Miami (OH),1,1.3472558906525096
Kentucky,Miami (OH),1,-0.6421505306649413
Miami (OH),Kentucky,-1,-0.49154704034549934
Miami (OH),Kentucky,-1,-0.11010832273906335
Kentucky,Miami (OH),1,1.0348499309735995
Kentucky,Miami (OH),1,-0.3398223774539533
Kentucky,Miami (OH),1,-0.6421505306649413
Kentucky,Miami (OH),1,-0.8646705500480636
Kentucky,Miami (OH),1,-0.33982237745395194
Kentucky,Miami (OH),1,1.252665853497425
Kentucky,Miami (OH),1,-0.1895676718507202
Kentucky,Miami (OH),1,-0.26036302834229597
